Day,Ad_Spend,Ad_Spend_Lag1,is_weekend,Users
1,22.8,0.0,0,158
2,16.1,22.8,0,181
3,56.2,16.1,0,288
4,47.0,56.2,0,355
5,41.9,47.0,0,317
6,0.0,41.9,1,215
7,53.5,0.0,1,311
8,54.7,53.5,0,327
9,44.2,54.7,0,338
10,0.0,44.2,0,160
11,23.3,0.0,0,188
12,22.8,23.3,0,218
13,0.0,22.8,1,226
14,52.6,0.0,1,286
15,52.7,52.6,0,367
16,50.7,52.7,0,381
17,0.0,50.7,0,224
18,0.0,0.0,0,130
19,0.0,0.0,0,120
20,39.0,0.0,1,259
21,0.0,39.0,1,243
22,0.0,0.0,0,130
23,0.0,0.0,0,120
24,0.0,0.0,0,149
25,50.3,0.0,0,323
26,45.2,50.3,0,341
27,59.9,45.2,1,453
28,0.0,59.9,1,296
29,0.0,0.0,0,158
30,21.8,0.0,0,219
31,20.0,21.8,0,224
32,0.0,20.0,0,162
33,0.0,0.0,0,142
34,33.7,0.0,1,322
35,0.0,33.7,1,251
36,0.0,0.0,0,165
37,45.6,0.0,0,284
38,54.0,45.6,0,430
39,56.9,54.0,0,417
40,0.0,56.9,0,255
41,30.6,0.0,1,314
42,0.0,30.6,1,271
43,0.0,0.0,0,150
44,24.1,0.0,0,257
45,24.6,24.1,0,297
46,0.0,24.6,0,194
47,0.0,0.0,0,160
48,29.3,0.0,1,302
49,29.6,29.3,1,350
50,17.3,29.6,0,263
51,16.7,17.3,0,252
52,0.0,16.7,0,196
53,24.9,0.0,0,249
54,12.6,24.9,0,258
55,0.0,12.6,1,228
56,25.3,0.0,1,310
57,17.4,25.3,0,274
58,0.0,17.4,0,216
59,0.0,0.0,0,172
60,12.7,0.0,0,223
61,15.5,12.7,0,245
62,0.0,15.5,1,234
63,36.2,0.0,1,337
64,0.0,36.2,0,249
65,0.0,0.0,0,187
66,0.0,0.0,0,166
67,0.0,0.0,0,191
68,0.0,0.0,0,219
69,0.0,0.0,1,208
70,35.8,0.0,1,351
71,14.6,35.8,0,308
72,18.1,14.6,0,287
73,0.0,18.1,0,207
74,17.6,0.0,0,269
75,0.0,17.6,0,221
76,0.0,0.0,1,248
77,0.0,0.0,1,266
78,0.0,0.0,0,217
79,0.0,0.0,0,189
80,19.5,0.0,0,254
81,13.8,19.5,0,277
82,18.8,13.8,0,266
83,0.0,18.8,1,263
84,0.0,0.0,1,251
85,0.0,0.0,0,209
86,0.0,0.0,0,209
87,24.7,0.0,0,259
88,0.0,24.7,0,235
89,0.0,0.0,0,200
90,49.0,0.0,1,399
91,51.1,49.0,1,513
92,51.9,51.1,0,444
93,0.0,51.9,0,259
94,17.3,0.0,0,261
95,0.0,17.3,0,264
96,23.6,0.0,0,266
97,31.5,23.6,1,370
98,0.0,31.5,1,305
99,15.3,0.0,0,232
100,53.8,15.3,0,376
101,47.7,53.8,0,421
102,58.7,47.7,0,434
103,19.7,58.7,0,352
104,0.0,19.7,1,258
105,0.0,0.0,1,282
106,20.0,0.0,0,263
107,0.0,20.0,0,204
108,0.0,0.0,0,201
109,0.0,0.0,0,196
110,0.0,0.0,0,194
111,38.0,0.0,1,357
112,0.0,38.0,1,309
113,0.0,0.0,0,160
114,0.0,0.0,0,206
115,13.5,0.0,0,242
116,17.5,13.5,0,283
117,0.0,17.5,0,211
118,33.6,0.0,1,333
119,36.5,33.6,1,388
120,0.0,36.5,0,263
121,10.7,0.0,0,217
122,0.0,10.7,0,211
123,57.9,0.0,0,389
124,58.0,57.9,0,420
125,52.7,58.0,1,494
126,39.9,52.7,1,437
127,0.0,39.9,0,259
128,17.0,0.0,0,267
129,0.0,17.0,0,223
130,0.0,0.0,0,169
131,0.0,0.0,0,192
132,56.0,0.0,1,440
133,43.0,56.0,1,453
134,50.2,43.0,0,422
135,0.0,50.2,0,282
136,40.8,0.0,0,276
137,51.8,40.8,0,410
138,53.6,51.8,0,405
139,0.0,53.6,1,307
140,29.2,0.0,1,319
141,0.0,29.2,0,223
142,23.3,0.0,0,235
143,0.0,23.3,0,213
144,0.0,0.0,0,181
145,21.2,0.0,0,248
146,0.0,21.2,1,278
147,39.3,0.0,1,337
148,15.0,39.3,0,283
149,0.0,15.0,0,192
150,18.3,0.0,0,210
151,0.0,18.3,0,194
152,0.0,0.0,0,172
153,33.6,0.0,1,323
154,39.7,33.6,1,383
155,0.0,39.7,0,249
156,11.1,0.0,0,203
157,14.6,11.1,0,216
158,0.0,14.6,0,189
159,0.0,0.0,0,140
160,27.9,0.0,1,275
161,45.2,27.9,1,413
162,53.2,45.2,0,380
163,56.3,53.2,0,379
164,0.0,56.3,0,227
165,0.0,0.0,0,172
166,0.0,0.0,0,158
167,29.0,0.0,1,284
168,32.3,29.0,1,336
169,0.0,32.3,0,200
170,15.6,0.0,0,208
171,15.9,15.6,0,224
172,55.2,15.9,0,331
173,44.8,55.2,0,393
174,54.6,44.8,1,410
175,0.0,54.6,1,267
176,0.0,0.0,0,137
177,22.7,0.0,0,226
178,24.0,22.7,0,260
179,0.0,24.0,0,189
180,11.1,0.0,0,172
